id,argument1,argument2,topic,score
2994,"Nuclear power is the only energy-producing industry which takes full responsibility for managing all its wastes , and bears the cost of this .","As if this were n't bad enough , nuclear power plants produce a great deal of low-level radioactive waste in the form of radiated parts and equipment .",Nuclear energy,0.5178571429
2995,The support of nuclear power by government results from special pleading lobbying by the industry .,"Despite ongoing quarrels over its costs and an international perception that “ German angst ” caused the government to shut down reactors after the Fukushima accident , a vast majority of Germans is still in favour of putting an end to nuclear power .",Nuclear energy,0.5714285714
2996,They cost less and do n’t generate waste that remains dangerously radioactive for thousands of years .,"On top of this , the cost of building a nuclear waste dump costs around USD 29 billion . """,Nuclear energy,0.4285714286
2997,"February 5 , 2006 : "" In recent years , several electric utilities have emerged as nuclear-power specialists , reaping economies of scale and building expertise that enables them to run safer , more secure operations .","But as Michael Grunwald noted in Time , recent price estimates for a large plant in Florida came in at $ 12 billion to $ 18 billion , and that 's before you consider the fact that the nuclear industry has a history of 250-percent cost overruns.Some analysts say alternative methods would yield much more climate-saving bang for our buck than nuclear power .",Nuclear energy,0.5357142857
2998,Nuclear power stations are so dangerous that no insurance company will undertake to pay the total costs of a disaster or a terrorist attack .,The report goes on to say : “ The risks faced by developers [ of new nuclear plants ] … are so large and variable that individually they could each bring even the largest utility company to its knees financially . ”,Nuclear energy,0.5892857143
2999,Technically less advanced countries with nuclear power stations increases the safety risks .,"The Price-Anderson Nuclear Industries Indemnity Act , first passed in 1957 and last renewed in 2005 , restricts any costs payable by utility companies in the event of a nuclear accident to $ 12.6 billion .",Nuclear energy,0.4285714286
3000,And many environmentalists continue to give nukes the stink-eye becauseâ € ” as the Lantern noted in an earlier columnâ € ” after 50 years we still do n't have a long-term plan for storing high-level commercial nuclear waste .,"It would be lovely if nuclear power were the panacea for climate change , but spent nuclear fuel is estimated to remain dangerous for tens of thousands of years .",Nuclear energy,0.6785714286
3001,"Nuclear plant construction runs over-time and over-budget "" The case against nuclear power "" .",The unresolved problem of long-term waste disposal — the U.S. government has pledged to sequester the waste for 1 million years — contributes to the astronomical cost of decommissioning nuclear power plants .,Nuclear energy,0.5535714286
3002,"Although the spent fuel is highly radioactive at the moment it is brought out of the reactor , this same characteristic means that it rapidly loses radioactivity .","Of particular concern are two long-lived fission products , technetium-99 ( half-life 220,000 years ) and iodine-129 ( half-life 15.7 million years ) , which dominate spent nuclear fuel radioactivity after a few thousand years .",Nuclear energy,0.5357142857
3003,"For instance , over a timeframe of thousands of years , after the most active short half-life radioisotopes decayed , burying U.S. nuclear waste would increase the radioactivity in the top 2000 feet of rock and soil in the United States ( 10 million km2 ) by ?","Mark Diesendorf and B.K. Sovacool review the "" little-known research which shows that the life-cycle CO2 emissions of nuclear power may become comparable with those of fossil power as the 5.4 million tonnes of high-grade uranium ore is used up over the next several decades and low-grade uranium is mined and milled using fossil fuels "" .",Nuclear energy,0.5892857143
3004,""" It 's not that we 're anti-nuclear , but that nuclear is not the best way to advance carbon control given its economic situation , "" Thomas Cochran , former director of the Natural Resources Defense Council 's nuclear program , said in an interview .","The benefits of nuclear energy are outweighed by weapons-use risks Michael Levi , Council on Foreign Relations Fellow for Science and Technology .",Nuclear energy,0.6071428571
3005,"The increased opposition to nuclear power does not seem to result from a fear of it , as there have been no major nuclear disasters anywhere in the world since 2011 .","Nuclear : The crowning mother of expenses , nuclear is the blunt force of power generation for things like super-heavy industrial use or large cities .",Nuclear energy,0.4821428571
3006,"The government 's Nuclear Regulatory Commission has a set safety goal for every reactor in the country : The chance of an accident that results in radioactivity being released to the environment must be no more than one in a million , as determined by probabilistic risk assessment .",The two industries have been linked since the very beginning and a nuclear weapons free world requires a non-nuclear energy policy .,Nuclear energy,0.3928571429
3007,"Since most forms of renewable energy do n’t fill the bill , “ nuclear fission today represents the only present-day zero-carbon technology with the demonstrated ability to meet most , if not all , of the energy demands of a modern economy . ”","Sizewell B , the UK ’s most recent power station cost the taxpayer around £ 3.7 billion just to install Decommissioning and cleaning up all of our current nuclear sites is costing more than £ 70 billion .",Nuclear energy,0.4285714286
3008,"In 2004 , the average cost of producing nuclear energy in the United States was less than two cents per kilowatt-hour , comparable with coal and hydroelectric .","Sizewell B , the UK ’s most recent power station cost the taxpayer around £ 3.7 billion just to install Decommissioning and cleaning up all of our current nuclear sites is costing more than £ 70 billion .",Nuclear energy,0.6071428571
3009,"In recent years there has been a slowdown of electricity demand growth and financing has become more difficult , which impairs large projects such as nuclear reactors , with very large upfront costs and long project cycles which carry a large variety of risks .","The following nuclear power plants have been shut down due to being unsafe or past their operating life in the US : Big Rock Point , Bonus , Dresdent-1 , Elk Rivers , Enrico Fermi-1 , Frt St. Vrain , GE Vallecitos , Haddam Neck , Hallam , Humboldt Bay , Indian Point-1 , Lacrosse , Maine Yankee , Millstone-1 , Pathfinder , Peach Bottom-1 , Piqua , and many others .",Nuclear energy,0.5714285714
3010,"Hence , without a nuclear power program , justified as the peaceful use of unlimited , cheap , and safe energy , it is not possible to realistically generate the required amount of plutonium for nuclear weapons .",""" We can have 100 percent reliable grid across the U.S. without nuclear , without natural gas , without biofuels , with only wind , water , solar , with low-cost storage , "" he said .",Nuclear energy,0.5714285714
3011,"In addition , the same know-how used to design nuclear power plants can to a certain extent be used to build nuclear weapons ( nuclear proliferation ) .","And there is always the risk of nuclear proliferation , where nuclear power plants are diverted to help make weapons for countries or terrorist groups .",Nuclear energy,0.6964285714
3012,"They go on to argue "" that ( a ) its near-term potential is significantly limited compared to energy efficiency and renewable energy ; ( b ) it displaces emissions and saves lives only at high cost and at the enhanced risk of nuclear weapons proliferation ; ( c ) it is unsuitable for expanding access to modern energy services in developing countries ; and ( d ) Hansen 's estimates of cancer risks from exposure to radiation are flawed "" .","It has been established "" partly as a result of an earlier study by Körblein and Hoffmann which had found statistically significant increases in solid cancers ( 54 % ) , and in leukemia ( 76 % ) in children aged less than 5 within 5 km of 15 German nuclear power plant sites .",Nuclear energy,0.625
3013,"Economic • Net external Costs are much cheaper then other forms of production • As of 2005 Nuclear power was : – 3/4 the cost of coal – 1/5 the cost of gas • Nuclear energy is , in many places , competitive with fossil fuels for electricity generation , despite relatively high capital costs and the need to internalize all waste disposal and decommissioning costs .","Nuclear is much cheaper than wind or PV and for wind and solar greens always argue , yes the costs high , but we have to bear them for the sake of the environment .",Nuclear energy,0.6071428571
3014,"Finally , we consider ourselves fortunate to be in the company of many of the aforementioned nuclear engineers and scientists and biological hormesis researchers who have also been accelerating their attempts to reach the public with the truth about nuclear energy and radiation , in order to educate and mitigate the public ’s phobic response , and to combat the anti-nuclear disinformation campaign .","This public distrust is periodically reinforced by safety violations by nuclear companies , or through ineffectiveness or corruption on the part of nuclear regulatory authorities .",Nuclear energy,0.7321428571
3015,Failure to act could foreclose the nuclear power option in this country and make the road to clean air and energy independence in the future that much harder .,There are sure monetary focal points in setting up nuclear power plants and utilizing nuclear energy in lieu of traditional energy .,Nuclear energy,0.5714285714
3016,"The Price-Anderson Nuclear Industries Indemnity Act , first passed in 1957 and last renewed in 2005 , restricts any costs payable by utility companies in the event of a nuclear accident to $ 12.6 billion .","The nuclear industry , she stressed , generates $ 60 billion a year for the U.S. economy and supports 475,000 jobs , all while avoiding emissions that save the United States $ 33 billion annually .",Nuclear energy,0.6428571429
3017,"Look at the cons associated with conventional nuclear reactors … high operating pressure and temperature , massive size of containment structures , waste by products , potential for catastrophic systems failure , ad nauseam and they built them anyway !","Consequently , high-level radioactive waste requires sophisticated treatment and management to successfully isolate it from the biosphere .",Nuclear energy,0.625
3018,"Prospects for nuclear energy as an option are limited , the report found , by four unresolved problems : high relative costs ; perceived adverse safety , environmental , and health effects ; potential security risks stemming from proliferation ; and unresolved challenges in long-term management of nuclear wastes . ”","Although construction of safe nuclear power plants may be feasible , and may help meet rising energy needs in the short term , ignoring the longer term implications of nuclear power may lead to even bigger problems .",Nuclear energy,0.8214285714
3019,"The government 's Nuclear Regulatory Commission has a set safety goal for every reactor in the country : The chance of an accident that results in radioactivity being released to the environment must be no more than one in a million , as determined by probabilistic risk assessment .","Any risk of another Chernobyl or Mile High is intolerable "" The case against nuclear power "" .",Nuclear energy,0.5535714286
3020,"April 18th , 2006 - "" Moore turns to the question of whether nuclear power can be diverted to make nuclear weapons , and to his credit calls it ' the most serious issue associated with nuclear energy . '",The two industries have been linked since the very beginning and a nuclear weapons free world requires a non-nuclear energy policy .,Nuclear energy,0.5714285714
3021,"January 8 , 2008 - "" No nuclear power station anywhere in the world has ever been built on time and on budget with the average reactor costing three times as much and twice as long to build .","[ ... ] Worldwide , the cost of building a nuclear reactor is consistently two to three times higher than the nuclear industry estimates .",Nuclear energy,0.5892857143
3022,"In fact , it produces both low and high-level radioactive waste that remains dangerous for several hundred thousand years .","Currently , over 2,000 metric tons of high-level radioactive waste and 12 million cubic feet of low level radioactive waste are produced annually by the 103 operating reactors in the United States .4 No country in the world has found a solution for this waste .",Nuclear energy,0.7142857143
3023,The potential risks of nuclear power - for example from meltdown accidents at nuclear power plants - were too large to be taken by even the largest corporations .,"But as Michael Grunwald noted in Time , recent price estimates for a large plant in Florida came in at $ 12 billion to $ 18 billion , and that 's before you consider the fact that the nuclear industry has a history of 250-percent cost overruns.Some analysts say alternative methods would yield much more climate-saving bang for our buck than nuclear power .",Nuclear energy,0.6071428571
3024,"Even when the entire life cycle is taken into account , however , nuclear energy warms the planet much less than coal or natural gas .","In the whole fuel cycle , nuclear power uses nearly as much energy as it produces .",Nuclear energy,0.6964285714
3025,"We need a safe , genuinely sustainable , global and green solution to our energy needs , not a dangerous diversion like nuclear power .","Hence , without a nuclear power program , justified as the peaceful use of unlimited , cheap , and safe energy , it is not possible to realistically generate the required amount of plutonium for nuclear weapons .",Nuclear energy,0.5714285714
3026,Nuclear Accidents : The radioactive waste produced can pose serious health effects on the lives of people as well as the environment .,"As if this were n't bad enough , nuclear power plants produce a great deal of low-level radioactive waste in the form of radiated parts and equipment .",Nuclear energy,0.5892857143
3027,"Hence , from an economic and environmental perspective , nuclear power makes no sense ; numerous studies from the Wall Street Journal and independent energy analysts have put the cost of nuclear power at between 12-20 cents per kilowatt-hour ( kWh ) .","If one were to try and figure out how much a new plant might cost by looking at the last generation of nuclear power plants , "" on average , cost overruns there were equal to three times the pre-construction projections , so if it was supposed to cost $ 1 billion , it cost $ 3 billion , "" he explained .",Nuclear energy,0.6607142857
3028,Proponents also believe that nuclear power is the only viable course to achieve energy independence for most Western countries .,"Advocates are fond of noting that nuclear power now provides 70 percent of the country 's "" carbon-free "" energy .",Nuclear energy,0.5892857143
3029,But increasing reliance on nuclear power is one of the costliest ways to achieve that goal .,"Moreover , with the clear connection to nuclear weapons production , alongside many unresolved questions surrounding long-term waste management and the decommissioning of old plants , there are more than enough compelling arguments against nuclear power — in addition to the potential for terrifying accidents — to justify shutting them down now .",Nuclear energy,0.3928571429
3030,"Whenever nuclear waste is buried , risks are created for future generations , as there is no 100 % reliable way to store radioactive materials .",The waste from nuclear energy is extremely dangerous and it has to be carefully looked after for several thousand years ( 10 ' 000 years according to United States Environmental Protection Agency standards ) .,Nuclear energy,0.6785714286
3031,"John Price , a former member of the Safety Policy Unit at the UK 's National Nuclear Corporation , said that it "" might be 100 years before melting fuel rods can be safely removed from Japan 's Fukushima nuclear plant "" .",The unresolved problem of long-term waste disposal — the U.S. government has pledged to sequester the waste for 1 million years — contributes to the astronomical cost of decommissioning nuclear power plants .,Nuclear energy,0.6607142857
3032,"February 5 , 2006 : "" In recent years , several electric utilities have emerged as nuclear-power specialists , reaping economies of scale and building expertise that enables them to run safer , more secure operations .","Nuclear is a centralized power source requiring large infrastructure , investment , and coordination where decentralized sources ( including solar and wind ) can be more efficient , less costly , and more resilient .",Nuclear energy,0.5833333333
3033,"Moreover , with the clear connection to nuclear weapons production , alongside many unresolved questions surrounding long-term waste management and the decommissioning of old plants , there are more than enough compelling arguments against nuclear power — in addition to the potential for terrifying accidents — to justify shutting them down now .",The unresolved problem of long-term waste disposal — the U.S. government has pledged to sequester the waste for 1 million years — contributes to the astronomical cost of decommissioning nuclear power plants .,Nuclear energy,0.6785714286
3034,Nuclear power stations are so dangerous that no insurance company will undertake to pay the total costs of a disaster or a terrorist attack .,"The long lead times for construction that invalidate nuclear power as a way of mitigating climate change was a point recognized in 2009 by the body whose mission is to promote the use of nuclear power , the International Atomic Energy Agency ( IAEA ) .",Nuclear energy,0.4285714286
3035,"Nuclear waste disposal is costly Digging massive holes in mountains , transporting nuclear waste to these designated waste areas , and monitoring the waste areas for radiation leakages are all significant costs associated with nuclear energy .","As if this were n't bad enough , nuclear power plants produce a great deal of low-level radioactive waste in the form of radiated parts and equipment .",Nuclear energy,0.6071428571
3036,"April/May 2006 : "" The best case against nuclear power as a global warming remedy begins with the fact that nuclear-generated electricity is very expensive .",In this case the nuclear-free zone campaign provided a channel for exposing and challenging the role of nuclear expertise and elites in promoting nuclear power .,Nuclear energy,0.4642857143
3037,"1 million Europeans against nuclear power : "" Although nuclear power is a hazardous business , the nuclear industry hardly has any financial liability .","The industry has shown that it can safely handle , transport and store the radioactive wastes generated by nuclear power .",Nuclear energy,0.5178571429
3038,"Moreover , with the clear connection to nuclear weapons production , alongside many unresolved questions surrounding long-term waste management and the decommissioning of old plants , there are more than enough compelling arguments against nuclear power — in addition to the potential for terrifying accidents — to justify shutting them down now .","In it we explain the essentials of nuclear reactors and radiation biology aimed at a lay public and show , among other things , that contrary to the anti-nuclear mantra , nuclear energy has the best safety record over the last several decades of any source of energy – by orders of magnitude .",Nuclear energy,0.6785714286
3039,"January 8 , 2008 - "" No nuclear power station anywhere in the world has ever been built on time and on budget with the average reactor costing three times as much and twice as long to build .",Low Operating Costs : Nuclear power produces very inexpensive electricity .,Nuclear energy,0.5535714286
3040,"Nuclear : The crowning mother of expenses , nuclear is the blunt force of power generation for things like super-heavy industrial use or large cities .","Once built , the cost to operate a nuclear power plant is constant and predictable since the uranium fuel cost amounts to less than $ 0.0003 per KWH .",Nuclear energy,0.5535714286
3041,"According to the Nuclear Energy Institute , the power produced by the world 's nuclear plants would normally produce 2 billion metric tons of CO2 per year if they depended on fossil fuels .","Nuclear plants are also expensive to set up and decommission , and the costs of storing radioactive waste ( effectively indefinitely ) also have to be considered .",Nuclear energy,0.5535714286
3042,thirdly where would we put all the waste from the nuclear power .,The nuclear industry would like us to believe that nuclear power offers a much better option for generating electricity without releasing significant amounts of greenhouse gases or toxic pollution .,Nuclear energy,0.4285714286
3043,"Shortly after this in 1990 , Dubin and Rothwell were the first to estimate the value to the U.S. nuclear industry of the limitation on liability for nuclear power plants under the Price Anderson Act .",Failure to act could foreclose the nuclear power option in this country and make the road to clean air and energy independence in the future that much harder .,Nuclear energy,0.5535714286
3044,"Indeed , the industry itself has created fear of nuclear power by pointing out that radioactivity can be dangerous .","On the other hand , unlike costly and dangerous nuclear power , renewables are meeting energy needs quickly and without the problem of a deadly waste legacy or risking the diversion of radioactive materials .",Nuclear energy,0.5714285714
3045,"April/May 2006 : "" The best case against nuclear power as a global warming remedy begins with the fact that nuclear-generated electricity is very expensive .","However , high construction costs have hindered the development of nuclear power in many countries .",Nuclear energy,0.6607142857
3046,"January 8 , 2008 : "" Nuclear is not an available power source in the Philippines , and , given the DOE ’s power forecasts , a nuclear plant will be a poor choice to meet power demand because it takes too long to build .","Once built , the cost to operate a nuclear power plant is constant and predictable since the uranium fuel cost amounts to less than $ 0.0003 per KWH .",Nuclear energy,0.375
3047,"While it may be theoretically possible to stabilize the climate without nuclear power , in the real world there is no credible path to climate stabilization that does not include a substantial role for nuclear power .",Use of nuclear power by the U.S. will encourage nuclear proliferation by third-world countries and often leads to nuclear weapon development and the risk of nuclear war .,Nuclear energy,0.5892857143
3048,"However , if the nuclear industry is so confident in the ' safety ' of its reactors and the long-lived radioactive wastes that they produce , why must the American taxpayer indemnify the industry against the financial consequences of nuclear accident through the Price Anderson Act ?","The Price-Anderson Nuclear Industries Indemnity Act , first passed in 1957 and last renewed in 2005 , restricts any costs payable by utility companies in the event of a nuclear accident to $ 12.6 billion .",Nuclear energy,0.6607142857
3049,"Finally , and most importantly to the stringent Clean Air Acts and their equivalents in the countries actively looking to reduce pollution and greenhouse gas emissions , nuclear power represents the power source with the lowest pollution levels .","Nuclear waste disposal is costly Digging massive holes in mountains , transporting nuclear waste to these designated waste areas , and monitoring the waste areas for radiation leakages are all significant costs associated with nuclear energy .",Nuclear energy,0.4464285714
3050,6 ) School Uniforms are a back-door form of selection .,We also know that kids love to break rules and it is hard to make them obey .,School uniforms,0.3928571429
3051,Children are always taught to break free and stand out .,Theme 2 : Uniforms will save families money / Students wo n't pressure their parents to buy clothes some families ca n't afford .,School uniforms,0.2321428571
3052,Some children are more comfortable in a specific material or style of clothing .,"If uniforms are intended to curb school violence and improve academics , why are they not more prevalent in middle and high schools , where these goals are just as important as in elementary schools ?",School uniforms,0.375
3053,Conflict would arise if a male attempted to wear the specified ' female ' attire .,We can not afford to allow our schools to be used as laboratories and our children to be used as guinea pigs for new questionable fads founded in vanity and based on supposition .,School uniforms,0.2857142857
3054,It can cause controversy : Someone has to design the uniform and someone has to choose what it consists of .,"They even went as far as to cite an infringement on religious freedom , claiming that opting out of the uniforms on the grounds of religion allowed the school to rank the validity of certain religions .",School uniforms,0.4642857143
3055,Uniforms also prevent students from expressing creativity and using their own minds in making decisions on how to dress .,If we want our kids to enjoy school – no matter how hard the lessons might be – a great start would be to let them wear clothes that they ’ll be happy in .,School uniforms,0.5892857143
3056,"Lyndhurst student Mike Morreale agreed , stating that "" it 's so much easier to dress than having to search for clothes and find out that something does n't match . ""","There is no competition about being dressed in the latest trend , which would put a great deal of financial pressure on students and parents .",School uniforms,0.75
3057,"Because children are constantly growing , there is a captive market for new school clothes and manufacturers take advantage .",I envy a friend at another school who sat her exams in cosy leggings and comfy boots .,School uniforms,0.3571428571
3058,"A bulletin published by the National Association of Secondary School Principals stated that "" When all students are wearing the same outfit , they are less concerned about how they look and how they fit in with their peers ; thus , they can concentrate on their schoolwork . ""","Obviously , the ' cost ' argument is inconsistent with the ' pride ' argument that wants students to ' look well presented ' even if this comes at an extra cost .",School uniforms,0.625
3059,Put on your team uniform and you suddenly belong .,They tend to bond in nicely with their peers and can create an environment where they could learn more effectively in a group .,School uniforms,0.6428571429
3060,"Coming back to where I started from , the famous quote by my Mom “ Schools should be schools and not fashion shows . ”","Also , clothing with brands supporting drugs , violence and alcohol is also a concern .",School uniforms,0.4821428571
3061,"And even in the classroom , uniforms only accentuate differences in length , hair color and other physical characteristics .",This is an ideal time to teach your child there is more to life than a cool logo .,School uniforms,0.3214285714
3062,"Pride in being a part of a particular institution and in dressing accordingly is found not just in the Harrow boys with their distinctive straw hats , but also in the parochial school Irish lads in their berets .",Imagine trying to keep up while wearing an ugly uniform .,School uniforms,0.3214285714
3063,The high cost is another reason why uniforms should be banned .,"“ Us-and-them ” feelings are made worse by uniform , and bullying and fighting between students from different schools can increase .",School uniforms,0.3214285714
3064,"Special sun-protective clothing is often too expensive , or can not stand the frequent washing necessary as the kids have to wear the same clothing every day .","Clothing is considered as one of the means of building an identity , and without the freedom to choose , the development of such – as well as his transition to adulthood – can be severely dampened .",School uniforms,0.4285714286
3065,"Even as recently as February 2000 , over half way through the school year , the suspensions continue due to conflicts over compliant clothing .","Opponents cite research that shows a lack of individualism and comfort among students , working to actually decrease student learning and success .",School uniforms,0.5714285714
3066,"However , after seeing our students in uniforms for the last two weeks , I see an almost magical change in the student body .","We , as adults , spout platitudes to our children , such as "" It is who you are on the inside that counts , "" and then we tell them "" because you are wearing the wrong color you are not worthy of an education . """,School uniforms,0.3571428571
3067,"They can be any brand , and purchased at any department store , as long as they adhere to those guidelines .","This establishes that students can not wear the latest trends , mid-drift , or clothes that the school finds that interrupts the learning environment .",School uniforms,0.5535714286
3068,How safe is the evolving mind of a child in the hands of a system that puts discipline above development ?,"Limiting what I buy to certain colors makes shopping for him ... more expensive . """,School uniforms,0.3928571429
3069,"It 's like people think about skinheads ; they all dress the same if they want to belong to that group , and people immediately think they 're all going to be hooligans , but it 's not necessarily true .",Affordable school uniforms can reduce clothing costs substantially .,School uniforms,0.2678571429
3070,"From the results , researchers were able to conclude that students wearing uniforms did not have any significant difference in academic preparedness or proschool attitudes than other students .","Violence is not learned by clothing , but rather through unfit home situations , negative friendships , and even popular culture ( including emulation of television , media , music , and movies ) .",School uniforms,0.6607142857
3071,"In fact , 64 % of elementary school principals say that uniforms have a positive impact on bullying , despite a lack of supporting academic research .","It prevents competition and teasing : When children wear their own clothes into school , this then becomes a time for them to judge each other .",School uniforms,0.5535714286
3072,"If we take an example of an Army recruiting soldiers without their strict policy of uniform , the chances of inducting soldiers goes down .",Designs are often old-fashioned and ugly .,School uniforms,0.1964285714
3073,Empirical data does not support the anecdotal accounts of discipline and safety improvements cited by uniform proponents .,This is because there is better discipline and so the school setting makes learning easier .,School uniforms,0.5357142857
3074,"If your child has a high need for self-expression and personal comfort in her clothing , then uniforms may create unhealthy resentment and result in negative behaviors from your child .","Whatever way one looks at it , it seems that the danger is created not so much by the absence of uniforms , but by the way school operates .",School uniforms,0.5535714286
3075,"4 ) School Uniforms do not cut down on bullying - No matter what you dress students in , they will always find a way to pass judgment upon their peers .",Students takes less time to get ready in the morning .,School uniforms,0.2142857143
3076,Empirical data does not support the anecdotal accounts of discipline and safety improvements cited by uniform proponents .,"At a time when schools are encouraging an appreciation of diversity , enforcing standardized dress sends a contradictory message .",School uniforms,0.3928571429
3077,"A bulletin published by the National Association of Secondary School Principals stated that "" When all students are wearing the same outfit , they are less concerned about how they look and how they fit in with their peers ; thus , they can concentrate on their schoolwork . """,If you do n’t have enough money to buy uniform you need to wash them every day for you to enter the school .,School uniforms,0.4821428571
3078,"Late satirist George Carlin asked , "" Do n't these schools do enough damage , making all these children think alike ?",Middle class parents can more easily afford uniforms and so were more likely to send their children to such schools than working class parents .,School uniforms,0.3392857143
3079,"It brings so many benefits in terms of moral , discipline and results because it is a leveller of children of all backgrounds .",They argue that kids lose their self-identity when they lose their right to freely express themselves through personal fashion .,School uniforms,0.5535714286
3080,"Where school uniforms deliberately make children look silly , they symbolize oppression .","There are risks from ties , though ; they can become caught in things , creating a strangulation hazard , and are easily grabbed during playground scuffles .",School uniforms,0.4107142857
3081,At the same time they might feel that it takes away a way for children to express themselves and be more creative .,Children from poorer families get picked on for not being able to afford lots of pricey outfits .,School uniforms,0.3214285714
3082,The local community knows where that kid belongs .,Impeding one ’s freedom to choose can take a toll on his transition to adult life .,School uniforms,0.4285714286
3083,"( 1 ) For example , Long Beach , CA , implemented uniforms in 1995 and reported these impressive results in 2013 : The crime rate dropped by 91 % and school suspensions by 90 % ; sex offenses were reduced by 96 % and vandalism incidents by 69 % .","Instead of helping you out , your uniform can actually get in the way of learning .",School uniforms,0.2678571429
3084,"Another major problem with policies which are too vigorously enforced is the humiliation and fear suffered by the children who are never quite sure if they will be singled out as noncompliant ( Cimino "" Uniform "" 2 ) .","School is also a way to show them for who they are , either negative or positive .",School uniforms,0.5
3085,"Your child then tells you that the clothes you purchased for school , following the schoolï ¿ ½ s Code of Conduct guidelines , were deemed unacceptable by the principal and he/she was forced , under threat of punishment , to change into loaned , approved clothing .","They affect self-image , and even attract bullying and violence .",School uniforms,0.5
3086,"In Long Beach , California , attendance has slowly improved in elementary and middle schools since their mandatory uniform policy has been in effect .",He gets up in the morning knowing what he needs to put on every day without a hassle other than trying to locate where he put his tie !,School uniforms,0.4464285714
3087,"Cyndee Smith , a Polk County parent who had been extremely pleased when the School Board voted in the uniform policy , changed her mind following a conflict over her sonï ¿ ½ s shirt color .",Anonymous says2013-05-09T01 :55:36.233 Report Post I hate uniforms .,School uniforms,0.2142857143
3088,"Schools want to prevent students from dressing up in gang colors , and subsequently fight out gang wars at school .","First and foremost , many administrators claim that students are not as distracted by how they look , and therefore , spend more time learning at school .",School uniforms,0.4821428571
3089,"Most of the time other rules are put into place along with the school uniforms , which may lead to a desired behavior .",All students in a similar outfit also make students less concerned about what other people are wearing .,School uniforms,0.5357142857
3090,"With parents able to save money from not having to by everyday clothes for school , parents can afford and can choose to have their children wear fashionable and branded clothing on weekends .",Much now I can convince my principal to get us off these dumb uniforms ????,School uniforms,0.3571428571
3091,"Examples of a dress code would be not allowing ripped clothing , no logos or limiting the amount of skin that can be shown .",• School uniforms decreases the possibility of violence within the school premises .,School uniforms,0.3214285714
3092,"A study done by David L. Brunsma , University of Alabama and Kerry A. Rockquemore of Notre Dame , entitled Effects of Student Uniforms on Attendance , Behavior Problems , Substance Abuse , and Academic Achievement , showed that uniforms did not lead to an improvement in these areas .","Years ago , parents also complained that it was difficult to find uniforms , but that ceased to be an issue after large chain stores like Target and Wal-Mart began selling them .",School uniforms,0.3928571429
3093,"Some critics allege that this uniform is associated with the dress of a professional business man , which , they claim , gives boys at a young age the impression that masculinity is gained through business success .",I can not recall any accounts of violence against students caused by a student ’s clothing selection .,School uniforms,0.4285714286
3094,Some believe that uniforms do not prepare students for the real world in which people wear whatever they want .,"Jegory says2013-05-14T21 :03:29.110 Report Post It seems a lot of people saying "" Yes "" are arguing that it would mean less bullying would occur .",School uniforms,0.2321428571
3095,"Without the outlet of expression in their clothes , students may turn to other avenues of self-expression that may be viewed as even more inappropriate than clothing , such as nontraditional hair styles or make-up or more importantly , acting out against school and parental authority through the decisions they make and behaviors they exhibit .","Potential bullies have one less target for their insults ; it 's hard to make fun of what someone is wearing when you 're dressed exactly the same ... My uniform might not be what I would wear in my own time , but it gives me a sense of belonging , takes away the pressure of what to wear and deters the bullies .",School uniforms,0.7857142857
3096,Uniform at schools ensures not only lesser chances of conflicts and violence but also helps in creating a healthy team culture and harmony on campus .,"Then also , some girls do n’t like wearing dresses or skirts , which is what most girl ’s uniforms require .",School uniforms,0.5625
3097,The local community knows where that kid belongs .,"Fueled by these statistics , more schools across the country are requiring uniforms in their public schools , naming school safety as their primary motivation .",School uniforms,0.4821428571
3098,School uniforms are designed to stand up to everyday wear and repeated washing so most parents find that they can get away with buying a few sets .,"There are tons of arguments against uniforms , like they limit self-expression , yada , yada , yada ... but you know what I was forced to do in high school ?",School uniforms,0.4464285714
3099,"Now when I ask her how school is going , the first thing out of her mouth is she hates uniforms .",Group violence and theft are dissipated ... Children are no longer identified by their ' colors . ',School uniforms,0.3392857143
3100,"Not only that , as students wear uniform the entire weekdays , they might be able to appreciate their weekend clothes more .","The uniform identifies the child walking down the road as a target who is alone , on the way home , unaccompanied .",School uniforms,0.3214285714
3101,Another advantage of wearing school uniform is you can feel proud because of the feeling that you belong to a certain school .,"Dr. Alan Hilfer , senior psychologist in Brooklyn ’s Children ’s and Adolescent Unit at Maimonides Medical Center states : "" Clothes are a source of expression for children , and as kids get older , they become increasingly resentful of uniforms … .",School uniforms,0.5178571429
3102,"Additionally , uniforms reduce the prevalence of “ cliques ” and gangs on school campuses as students are required to only wear specific colors and uniform pieces .","It only takes two months for socioeconomic differences to show up again . """,School uniforms,0.4107142857
3103,"Students flourish when they 're treated as free-range individuals , rather than battery-hen units that must conform .",""" They think uniforms will solve every problem , but do n't they understand being forced to wear uniforms could make rebellious teens even more rebellious ? """,School uniforms,0.5178571429
3104,"So far , legally , no First Amendment problem , under court rulings that apply to public schools in Nevada and neighboring states .","In fact , it can actually increase the incidence of bullying , especially in school districts where violence rates are soaring .",School uniforms,0.4464285714
3105,"And just like prisoners wear striped clothes , school kids wear striped blazers .",The same is true of school children and if they are in shirts they will feel more like little workers and less like football fans .,School uniforms,0.5178571429
3106,"Critics , mostly students believe that wearing a school uniform is boring .","Years ago , parents also complained that it was difficult to find uniforms , but that ceased to be an issue after large chain stores like Target and Wal-Mart began selling them .",School uniforms,0.2678571429
